company,metric,year,value
HUL,GP,FY23,28864.0
HUL,GP,FY24,32136.0
HUL,GP,FY25,32543.0
HUL,EBITDA,FY19,8880.0
HUL,EBITDA,FY20,9861.0
HUL,EBITDA,FY21,11626.0
HUL,EBITDA,FY22,12857.0
HUL,EBITDA,FY23,14148.0
HUL,EBITDA,FY24,14659.0
HUL,EBITDA,FY25,14843.0
HUL,EBIT,FY19,8315.0
HUL,EBIT,FY20,8859.0
HUL,EBIT,FY21,10552.0
HUL,EBIT,FY22,11766.0
HUL,EBIT,FY23,13011.0
HUL,EBIT,FY24,13443.0
HUL,EBIT,FY25,13488.0
HUL,CE,FY19,9962.0
HUL,CE,FY20,10836.0
HUL,CE,FY21,57654.0
HUL,CE,FY22,59237.0
HUL,CE,FY23,61059.0
HUL,CE,FY24,65623.0
HUL,CE,FY25,63343.0
HUL,GM,FY19,0.5300432459933859
HUL,GM,FY20,0.5410351155015961
HUL,GM,FY21,0.5290465254741856
HUL,GM,FY22,0.5093048087556725
HUL,GM,FY23,0.4764608781776164
HUL,GM,FY24,0.5191934858472276
HUL,GM,FY25,0.5155653427543924
HUL,EM,FY19,0.2258967183922666
HUL,EM,FY20,0.24786969308498605
HUL,EM,FY21,0.24721442544866887
HUL,EM,FY22,0.24514738969606834
HUL,EM,FY23,0.23354242324199406
HUL,EM,FY24,0.23683275171255008
HUL,EM,FY25,0.23515153435465216
HUL,NM,FY19,0.1540066140931061
HUL,NM,FY20,0.16962018952819044
HUL,NM,FY21,0.17000510334268945
HUL,NM,FY22,0.16929794455249209
HUL,NM,FY23,0.16705183228788378
HUL,NM,FY24,0.16603657748481324
HUL,NM,FY25,0.1687077200931544
HUL,DIO,FY20,53.38367380469906
HUL,DIO,FY21,52.29117753296009
HUL,DIO,FY22,54.427336312415
HUL,DIO,FY23,48.03025286921427
HUL,DIO,FY24,50.73328293010753
HUL,DIO,FY25,50.35491202825561
HUL,DSO,FY20,13.601601186436417
HUL,DSO,FY21,11.281098494513905
HUL,DSO,FY22,13.898200053388248
HUL,DSO,FY23,16.011678771871903
HUL,DSO,FY24,17.915051053379862
HUL,DSO,FY25,19.706912121164113
HUL,DPO,FY20,147.33734048962154
HUL,DPO,FY21,134.6172340617663
HUL,DPO,FY22,126.72527686030698
HUL,DPO,FY23,107.26967461218314
HUL,DPO,FY24,123.01579301075269
HUL,DPO,FY25,130.1158512656158
HUL,CCC,FY20,-80.35206549848607
HUL,CCC,FY21,-71.0449580342923
HUL,CCC,FY22,-58.39974049450373
HUL,CCC,FY23,-43.22774297109696
HUL,CCC,FY24,-54.3674590272653
HUL,CCC,FY25,-60.05402711619607
HUL,ROCE,FY20,0.8519088373882104
HUL,ROCE,FY21,0.30813257409840855
HUL,ROCE,FY22,0.20131575570403196
HUL,ROCE,FY23,0.2163164194985702
HUL,ROCE,FY24,0.21223220347010624
HUL,ROCE,FY25,0.2091714095187879
HUL,ROA,FY20,0.34799649321850346
HUL,ROA,FY21,0.17984478686312
HUL,ROA,FY22,0.1275040567514396
HUL,ROA,FY23,0.1409431492158993
HUL,ROA,FY24,0.13559299671473618
HUL,ROA,FY25,0.1344748988186565
HUL,RG,FY20,0.012032561689137624
HUL,RG,FY21,0.1821129628233165
HUL,RG,FY22,0.11520796121459556
HUL,RG,FY23,0.15509285741524617
HUL,RG,FY24,0.021723341036645756
HUL,RG,FY25,0.019791262763344964
HUL,raw_rev,FY19,39310.0
HUL,raw_rev,FY20,39783.0
HUL,raw_rev,FY21,47028.0
HUL,raw_rev,FY22,52446.0
HUL,raw_rev,FY23,60580.0
HUL,raw_rev,FY24,61896.0
HUL,raw_rev,FY25,63121.0
HUL,raw_oi,FY19,550.0
HUL,raw_oi,FY20,632.0
HUL,raw_oi,FY21,410.0
HUL,raw_oi,FY22,258.0
HUL,raw_oi,FY23,512.0
HUL,raw_oi,FY24,811.0
HUL,raw_oi,FY25,1017.0
HUL,raw_com,FY19,13707.0
HUL,raw_com,FY20,11976.0
HUL,raw_com,FY21,15432.0
HUL,raw_com,FY22,16446.0
HUL,raw_com,FY23,20212.0
HUL,raw_com,FY24,19257.0
HUL,raw_com,FY25,19458.0
HUL,raw_psit,FY19,4755.0
HUL,raw_psit,FY20,6391.0
HUL,raw_psit,FY21,7121.0
HUL,raw_psit,FY22,9311.0
HUL,raw_psit,FY23,11579.0
HUL,raw_psit,FY24,10514.0
HUL,raw_psit,FY25,11273.0
HUL,raw_chg,FY19,12.0
HUL,raw_chg,FY20,-108.0
HUL,raw_chg,FY21,-405.0
HUL,raw_chg,FY22,-22.0
HUL,raw_chg,FY23,-75.0
HUL,raw_chg,FY24,-11.0
HUL,raw_chg,FY25,-153.0
HUL,raw_fc,FY19,33.0
HUL,raw_fc,FY20,118.0
HUL,raw_fc,FY21,117.0
HUL,raw_fc,FY22,106.0
HUL,raw_fc,FY23,114.0
HUL,raw_fc,FY24,334.0
HUL,raw_fc,FY25,395.0
HUL,raw_da,FY19,565.0
HUL,raw_da,FY20,1002.0
HUL,raw_da,FY21,1074.0
HUL,raw_da,FY22,1091.0
HUL,raw_da,FY23,1137.0
HUL,raw_da,FY24,1216.0
HUL,raw_da,FY25,1355.0
HUL,raw_pbeit,FY19,8832.0
HUL,raw_pbeit,FY20,9373.0
HUL,raw_pbeit,FY21,10845.0
HUL,raw_pbeit,FY22,11918.0
HUL,raw_pbeit,FY23,13409.0
HUL,raw_pbeit,FY24,13920.0
HUL,raw_pbeit,FY25,14110.0
HUL,raw_np,FY19,6054.0
HUL,raw_np,FY20,6748.0
HUL,raw_np,FY21,7995.0
HUL,raw_np,FY22,8879.0
HUL,raw_np,FY23,10120.0
HUL,raw_np,FY24,10277.0
HUL,raw_np,FY25,10649.0
HUL,raw_inv,FY19,2574.0
HUL,raw_inv,FY20,2767.0
HUL,raw_inv,FY21,3579.0
HUL,raw_inv,FY22,4096.0
HUL,raw_inv,FY23,4251.0
HUL,raw_inv,FY24,4022.0
HUL,raw_inv,FY25,4415.0
HUL,raw_tr,FY19,1816.0
HUL,raw_tr,FY20,1149.0
HUL,raw_tr,FY21,1758.0
HUL,raw_tr,FY22,2236.0
HUL,raw_tr,FY23,3079.0
HUL,raw_tr,FY24,2997.0
HUL,raw_tr,FY25,3819.0
HUL,raw_tp,FY19,7206.0
HUL,raw_tp,FY20,7535.0
HUL,raw_tp,FY21,8802.0
HUL,raw_tp,FY22,9068.0
HUL,raw_tp,FY23,9574.0
HUL,raw_tp,FY24,10486.0
HUL,raw_tp,FY25,11315.0
HUL,raw_ta,FY19,18629.0
HUL,raw_ta,FY20,20153.0
HUL,raw_ta,FY21,68757.0
HUL,raw_ta,FY22,70517.0
HUL,raw_ta,FY23,73087.0
HUL,raw_ta,FY24,78499.0
HUL,raw_ta,FY25,79880.0
HUL,raw_tcl,FY19,8667.0
HUL,raw_tcl,FY20,9317.0
HUL,raw_tcl,FY21,11103.0
HUL,raw_tcl,FY22,11280.0
HUL,raw_tcl,FY23,12028.0
HUL,raw_tcl,FY24,12876.0
HUL,raw_tcl,FY25,16537.0
